no,soru,beklenen_cevap,kaynak_dosyalar,tip
1,"HGS ile SGS arasındaki temel fark nedir?","HGS RFID etiketle çalışır ve ön ödemelidir; SGS plaka tanıma ile çalışır ve ay sonu faturalı (son ödemeli) olup kurumsal filolar içindir.","hgs_sgs_bilgi_notu.txt",tekil
2,"HGS etiketi kaç liradır ve ilk yüklemede en az ne kadar bakiye gerekir?","Etiket 60 TL (2026); ilk yüklemede en az 100 TL bakiye şartı vardır.","hgs_sgs_bilgi_notu.txt",sayisal
3,"HGS'de bakiye yetersiz kaldığında ceza ne zaman ve ne kadar uygulanır?","15 gün içinde bakiye tamamlanmazsa geçiş ücretinin 4 katı ceza uygulanır.","hgs_sgs_bilgi_notu.txt",sayisal
4,"Geçiş kayıtlarına itiraz süresi nedir ve itirazlar kaç günde sonuçlanır?","Geçiş tarihinden itibaren 30 gün içinde itiraz edilir; 7 iş günü içinde sonuçlandırılır.","hgs_sgs_bilgi_notu.txt",sayisal
5,"SGS'de plaka okunamazsa ne olur?","Geçiş kaydı elle inceleme kuyruğuna düşer ve operatör tarafından doğrulanır.","hgs_sgs_bilgi_notu.txt",tekil
6,"Taşıt kimliğini kameralarla tanıyarak ücret toplayan sistem hangisidir?","SGS (Serbest Geçiş Sistemi) plaka tanıma teknolojisiyle çalışır.","hgs_sgs_bilgi_notu.txt",es_anlamli
7,"8 yıl kıdemi olan personel kaç gün yıllık izin alır?","20 gün (5-15 yıl arası hizmet süresi dilimi).","izin_yonergesi.txt",sayisal
8,"Yıllık iznin en az kaç günlük bölümü kesintisiz kullanılmak zorundadır?","En az 10 günlük bölümü kesintisiz kullanılır.","izin_yonergesi.txt",sayisal
9,"Evlilik durumunda kaç gün mazeret izni verilir?","5 gün; mazeret izinleri yıllık izinden düşülmez.","izin_yonergesi.txt",sayisal
10,"Tek hekim raporuyla bir seferde ve yılda toplam kaç gün hastalık izni kullanılabilir?","Bir seferde en fazla 10 gün, yıl içinde toplam 40 gün.","izin_yonergesi.txt",sayisal
11,"Ücretsiz izin talep etmenin şartları nelerdir?","En az 1 yıl kıdem; azami 12 ay; İnsan Kaynakları değerlendirir, genel müdür onayıyla kesinleşir; süre kıdeme sayılmaz.","izin_yonergesi.txt",tekil
12,"İzin talebi izin başlangıcından kaç gün önce yapılmalıdır?","En az 5 iş günü önce personel portalından.","izin_yonergesi.txt",sayisal
13,"Kar küreme bıçağı yol yüzeyinden kaç santimetre yükseklikte ayarlanır?","2 santimetre; yüzeye temas eden bıçak yolu ve ekipmanı yıpratır.","yol_bakim_araclari.txt",sayisal
14,"Tuz solüsyonu katı tuza göre ne kadar malzeme tasarrufu sağlar?","Yüzde 30 daha az malzemeyle aynı buzlanma önleme etkisini sağlar.","yol_bakim_araclari.txt",sayisal
15,"Ekipmanlarda motor yağı ve filtre değişimi hangi periyotta yapılır?","250 saatte bir.","yol_bakim_araclari.txt",sayisal
16,"Kar küreme aracı kullanmak için hangi ehliyet ve eğitim gerekir?","G sınıfı ehliyet ve kurum içi operatör eğitimi; rotatif kar makinesi için ek üretici sertifikası.","yol_bakim_araclari.txt",tekil
17,"Buz çözücü malzeme hangi araçlarla yola uygulanıyor?","Tuzlama ve solüsyon araçlarıyla; katı tuz veya tuz solüsyonu püskürtülür.","yol_bakim_araclari.txt",es_anlamli
18,"Ana arter kavşağındaki sinyal arızasına en geç kaç saatte müdahale edilir?","En geç 2 saat; tam sinyal sönümünde her koşulda 2 saat.","sinyalizasyon_bakim_talimati.txt",sayisal
19,"LED sinyal modüllerinin nominal ömrü kaç saattir?","50.000 saat; ömrünü dolduran modüller planlı bakımda değiştirilir.","sinyalizasyon_bakim_talimati.txt",sayisal
20,"Değişken mesaj işaretlerine mesajı kim girebilir?","Yalnızca bölge trafik yönetim merkezi; saha ekiplerinin yetkisi yoktur.","sinyalizasyon_bakim_talimati.txt",tekil
21,"Düşük hacimli kavşaklarda flaşlı sarı moda hangi saatlerde geçilir?","Gece 23.00 - 06.00 arasında.","sinyalizasyon_bakim_talimati.txt",sayisal
22,"2026'da 1. sınıf araçlar için otoyol kilometre ücreti kaç TL?","1,45 TL/km.","ucretlendirme_tarifesi_2026.txt",sayisal
23,"Gece indirimi hangi saatlerde ve yüzde kaçtır?","01.00 - 05.00 arasında yüzde 20; köprü geçişlerinde geçerli değildir.","ucretlendirme_tarifesi_2026.txt",sayisal
24,"Motosikletler köprü geçişinde ücret öder mi?","Hayır, motosikletlerden köprü geçişlerinde ücret alınmaz.","ucretlendirme_tarifesi_2026.txt",tekil
25,"Sık kullanım indirimi nasıl uygulanır?","Aynı ayda 40'tan fazla geçiş yapan ticari araçlara, 40'ıncı geçişten sonrakiler için yüzde 15.","ucretlendirme_tarifesi_2026.txt",sayisal
26,"Boğaz köprüsü 1. sınıf tek yön geçiş ücreti kaç TL?","42 TL (2026 tarifesi).","ucretlendirme_tarifesi_2026.txt",sayisal
27,"Kaç dinlenme tesisinde DC hızlı şarj istasyonu var?","12 tesiste; her istasyonda en az 4 nokta, 180 kW, CCS2.","elektrikli_arac_sarj_istasyonlari.txt",sayisal
28,"DC hızlı şarjın kilovatsaat ücreti nedir?","8,90 TL; 350 kW ultra hızlı ünitelerde 10,50 TL.","elektrikli_arac_sarj_istasyonlari.txt",sayisal
29,"Şarj bitince soketi işgal eden araçtan ne alınır?","30 dakikadan sonra dakika başına 2 TL işgal bedeli.","elektrikli_arac_sarj_istasyonlari.txt",sayisal
30,"Şarj istasyonlarında 2027 hedefi nedir?","Tesis sayısını 30'a çıkarmak; tesisler arası mesafenin 60 km'yi aşmaması.","elektrikli_arac_sarj_istasyonlari.txt",sayisal
31,"Elektrikli otomobilimi seyahatte nerede doldurabilirim?","Otoyol dinlenme tesislerindeki DC hızlı şarj istasyonlarında (2026'da 12 tesis).","elektrikli_arac_sarj_istasyonlari.txt",es_anlamli
32,"Otoyolda çekici hizmeti ücretsiz mi?","İlk 25 kilometre ücretsizdir; sonrası tarifeye göre ücretlendirilir.","surucu_sss.txt",sayisal
33,"Kaçış rampasını kullanan sürücüye masraf çıkarılır mı?","Hayır; çekme ve çakıl düzeltme masrafını kurum karşılar, sürücü 188'i aramalıdır.","surucu_sss.txt",tekil
34,"Freni tutmayan kamyon nereye sığınabilir?","Uzun inişlerdeki çakıl dolgulu kaçış rampasına; kullanım sonrası 188'e bildirilir.","surucu_sss.txt",es_anlamli
35,"Ağır taşıtlar için kış lastiği hangi tarihler arasında zorunludur?","1 Aralık - 1 Nisan arasında.","surucu_sss.txt",tekil
36,"Yoldaki büyük çukuru nereye bildirebilirim, ne kadar sürede ekip gelir?","188 Yol Destek Hattı veya mobil uygulama; öncelikli bildirimlerde hedef 3 saat.","surucu_sss.txt",sayisal
37,"Dinlenme tesisinde tuvaletten ücret alınırsa ne olur?","Sözleşme ihlalidir; ilk tespitte 50.000 TL ceza uygulanır.","dinlenme_tesisleri_isletme_esaslari.txt",sayisal
38,"Denetimde 70 puanın altında kalan tesise ne yapılır?","Yazılı uyarı verilir, 60 gün içinde yeniden denetlenir; üst üste iki kez altında kalırsa fesih sürecine alınır; 50 altı tek denetimde fesih nedenidir.","dinlenme_tesisleri_isletme_esaslari.txt",tekil
39,"Tesis fiyatları emsal fiyatların en fazla yüzde kaç üzerinde olabilir?","Yüzde 10; aykırılıkta kalem başına 10.000 TL yaptırım.","dinlenme_tesisleri_isletme_esaslari.txt",sayisal
40,"Dinlenme tesisinde ağır taşıtlar için asgari park kapasitesi nedir?","En az 15 tır kapasiteli ayrı park sahası.","dinlenme_tesisleri_isletme_esaslari.txt",sayisal
41,"Hangi tünellerde mekanik havalandırma zorunludur?","500 metreden uzun tünellerde (B ve C kategorisi); jet fanlar CO sensörüyle çalışır.","tunel_guvenlik_yonergesi.docx",tekil
42,"Tünelde CO değeri kaç ppm'e ulaşınca trafik kapatılır?","100 ppm'de kapatılır; 70 ppm'de havalandırma tam kapasiteye çıkar.","tunel_guvenlik_yonergesi.docx",sayisal
43,"C kategorisi tünellerde kaçış bağlantısı aralığı nedir?","Her 300 metrede bir kaçış bağlantısı veya yaya kaçış galerisi.","tunel_guvenlik_yonergesi.docx",sayisal
44,"Tehlikeli madde taşıyan araçlar hangi tünelleri kullanamaz?","C kategorisi (1.500 m'den uzun) tünelleri; alternatif güzergaha yönlendirilirler.","tunel_guvenlik_yonergesi.docx",tekil
45,"Ağda toplam kaç tünel var, kategorilere dağılımı nedir?","23 tünel: 14 A, 6 B, 3 C kategorisi.","tunel_guvenlik_yonergesi.docx",sayisal
46,"Köprülerde ana muayene hangi sıklıkla yapılır?","2 yılda bir; rutin muayene 6 ayda bir, özel muayene olay sonrası 48 saat içinde.","kopru_viyaduk_denetim_proseduru.docx",sayisal
47,"Durum skoru 4 verilen köprüye ne yapılır?","30 gün içinde yük sınırlaması kararı alınır ve yapı Köprü Yük Sınırı Raporuna eklenir.","kopru_viyaduk_denetim_proseduru.docx",tekil
48,"Sualtı ayaklı köprülerde dalgıçlı muayene periyodu nedir?","4 yılda bir zorunludur.","kopru_viyaduk_denetim_proseduru.docx",sayisal
49,"Öngerilmeli kirişte tel kopması tespit edilirse ne yapılır?","Acil durum kabul edilir ve aynı gün genel müdürlüğe raporlanır.","kopru_viyaduk_denetim_proseduru.docx",tekil
50,"Asfalt serimi hangi karışım sıcaklığının altında yapılamaz?","135 derecenin altında serim yapılmaz; sıkıştırma 80 derecenin üzerinde tamamlanır.","asfalt_kaplama_teknik_sartnamesi.docx",sayisal
51,"Asfaltta sıkışma oranı kabul kriteri nedir?","Marshall yoğunluğunun en az yüzde 97'si; her 1.000 tonda en az bir karot.","asfalt_kaplama_teknik_sartnamesi.docx",sayisal
